did-unr|unr-file-name|unr-title|unr-desc|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|format|dcmi|prov|proj-name|unr-cit|dig-pub|contrib|int-ext|staff-notes|date-img|title-code|title-full|creator
neo000017|||"Photos show Circus Circus signs at night. "|1976|"Circus Circus (Las Vegas, Nev.)"|"2880 S Las Vegas Blvd, Las Vegas, NV"|"36.1376416, -115.1653861"||"Mandalay Resort Group"||night||||||||||||2002|||"Joshua Cannaday"
neo000018|||"Daytime views of the Desert Oasis motel sign. "|||"4445 Diamond Head Dr, Las Vegas, NV"|"36.1709409, -115.0788019"||"Volunteers of America/HUD"||day||||||||||||2002|||"Joshua Cannaday"
neo000019|||"Nighttime views of the Diamond Inn signs on the Strip. "|||"4605 S Las Vegas Blvd, Las Vegas, NV"|"36.0874566, -115.1720562"||||night||||||||||||2002|||"Joshua Cannaday"
neo000020|||"Daytime and nighttime views of the ESPN Zone signs on the Strip. "||"New York-New York Hotel and Casino (Las Vegas, Nev.)"|"3790 S Las Vegas Blvd, Las Vegas, NV"|"36.1023786, -115.1745465"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000021|||"Photos show Excalibur signs at night. "|1989|"Excalibur Hotel and Casino (Las Vegas, Nev.)"|"3850 S Las Vegas Blvd, Las Vegas, NV"|"36.0986889, -115.1752059"||"Mandalay Resort Group"||night||||||||||||2002|||"Joshua Cannaday"
neo000022|||"Daytime and nighttime views of the Fantasia gift shop on the Strip. "|||"2800 S Las Vegas Blvd, Las Vegas, NV"|"36.1367456, -115.1631124"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000023|||"Daytime views of the Fatburger signs on the Strip. "|||"3763 S Las Vegas Blvd, Las Vegas, NV"|"36.1052945, -115.17249"||||day||||||||||||2002|||"Joshua Cannaday"
neo000024|||"Photos show Flamingo signs at night. "|1968|"Flamingo Hotel and Casino (Las Vegas, Nev.)"|"3555 S Las Vegas Blvd, Las Vegas, NV"|"36.1164524, -115.1726588"||"Park Place Entertainment"||night||||||||||||2002|||"Joshua Cannaday"
neo000025|||"Daytime views of the Frontier Hotel and Casino signs on the Strip. "|1967|"Frontier Hotel and Casino"|"3120 S Las Vegas Blvd, Las Vegas, NV"|"36.1286371, -115.1674022"||"Phil Ruffin"||day||||||||||||2002|||"Joshua Cannaday"
neo000026|||"Daytime and nighttime views of the Gameworks' signs on the Strip. "|||"3785 S Las Vegas Blvd, Las Vegas, NV"|"36.1037254, -115.1724263"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000027|||"Daytime views of the Ginseng BBQ signs on the Strip. "|||"3765 S Las Vegas Blvd, Las Vegas, NV"|"36.1049965, -115.1717319"||||day||||||||||||2002|||"Joshua Cannaday"
neo000028|||"Daytime views of the Glass Pool Inn signs on the Strip. "|1953||"4613 S Las Vegas Blvd, Las Vegas, NV"|"36.086807, -115.172041"||||day||||||||||||2002|||"Joshua Cannaday"
neo000029|||"Daytime and nighttime views of the Grand Canyon Experience signs on the Strip. "|2000||"3791 S Las Vegas Blvd, Las Vegas, NV"|"36.102866, -115.17251"||"M H & K Enterprises"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000030|||"Daytime and nighttime views of the Greek Isles Hotel and Casino signs. "|2000||"305 Convention Center Dr, Las Vegas, NV"|"36.1320043, -115.1587623"||"Mark IV Realty"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000031|||"Evening and nighttime views of the Happi Inn signs on the Strip. "|||"3939 S Las Vegas Blvd, Las Vegas, NV"|"36.0932497, -115.1726434"||||night||||||||||||2002|||"Joshua Cannaday"
neo000032|||"Daytime and nighttime views of the Harley Davidson Cafe signs on the Strip. "|1999||"3725 S Las Vegas Blvd, Las Vegas, NV"|"36.107729, -115.1723215"||"Marc Packer"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000033|||"Daytime and nighttime views of the Harrah's Las Vegas Hotel and Casino signs on the Strip. "|1995|"Harrah's Las Vegas"|"3475 S Las Vegas Blvd, Las Vegas, NV"|"36.1194161, -115.1707592"||"Harrah's Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000034|||"Nighttime views of the Imperial Palace Hotel and Casino signs on the Strip. "|1979||"3535 S Las Vegas Blvd, Las Vegas, NV"|"36.1181779, -115.1713151"||"Ralph Engelstad"||night||||||||||||2002|||"Joshua Cannaday"
neo000035|||"Daytime and nighttime views of the Klondike Hotel and Casino signs on the Strip. "|1978||"5191 S Las Vegas Blvd, Las Vegas, NV"|"36.0830825, -115.1716856"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000036|||"Daytime and nighttime views of the La Concha Motel sign on the Strip. "|||"2955 S Las Vegas Blvd, Las Vegas, NV"|"36.134166, -115.16202"||"Edward Doumani"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000037|||"Nighttime views of the Las Vegas Helicopter Tours signs on the Strip. "|1996||"3712 S Las Vegas Blvd, Las Vegas, NV"|"36.1092996, -115.1731374"||||night||||||||||||2002|||"Joshua Cannaday"
neo000038|||"Daytime and nighttime views of the Las Vegas World Souvenirs signs on the Strip. "|1996||"3710 S Las Vegas Blvd, Las Vegas, NV"|"36.1094184, -115.1731333"||"property leased from MGM Mirage"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000039|||"Daytime views of the Laughing Jackalope motel signs on the Strip. "|1997||"3969 S Las Vegas Blvd, Las Vegas, NV"|"36.091064, -115.1724731"||"Dan, Ron and Randy Horowitz"||day||||||||||||2002|||"Joshua Cannaday"
neo000040|||"Photos show Little Church of the West signs during the day and at night. "|1950|"Little Church of the West"|"4617 S  Las Vegas Blvd, Las Vegas, NV"|"36.086079, -115.1722994"||"Greg Smith"|lit|day,night||||||||||||2002|||"Joshua Cannaday"
neo000041|||"Photos show Luxor signs during the day. "||"Luxor (Las Vegas, Nev.)"|"3900 S Las Vegas Blvd, Las Vegas, NV"|"36.09551, -115.1760672"||"Mandalay Resort Group"||day||||||||||||2002|||"Joshua Cannaday"
neo000042|||"Daytime and nighttime views of Madame Tussaud's museum signs on the Strip. "|2000|"Venetian (Las Vegas, Nev.)"|"3377 S Las Vegas Blvd, Las Vegas, NV"|"36.1221671, -115.1689528"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000043|||"Photos show Mandalay Bay signs during the day and at night. "|1999|"Mandalay Bay (Las Vegas, Nev.)"|"3950 S Las Vegas Blvd, Las Vegas, NV"|"36.0917915, -115.1753255"||"Mandalay Resort Group"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000044|||"Daytime views of the Maxim Hotel and Casino signs. "|1977||"160 E Flamingo Rd, Las Vegas, NV"|"36.1150873, -115.1657327"||"Premier Interval Resorts"||day||||||||||||2002|||"Joshua Cannaday"
neo000045|||"Photos show McCarran Field signs during the day. "|1948||"6005 S Las Vegas Blvd, Las Vegas, NV"|"36.0802832, -115.1710864"||"McCarran International Airport"||day||||||||||||2002|||"Joshua Cannaday"
neo000046|||"Daytime and evening views of a McDonald's sign on the Strip at 2800 S Las Vegas Blvd. "|||"2800 S Las Vegas Blvd, Las Vegas, NV"|"36.1367456, -115.1631124"||||day||||||||||||2002|||"Joshua Cannaday"
neo000047|||"Daytime and evening views of a McDonald's sign on the Strip at 3755 S Las Vegas Blvd. "|||"3755 S Las Vegas Blvd, Las Vegas, NV"|"36.1055294, -115.1721951"||||day||||||||||||2002|||"Joshua Cannaday"
neo000048|||"Daytime and evening views of a McDonald's sign on the Strip at 3999 S Las Vegas Blvd. "|||"3999 S Las Vegas Blvd, Las Vegas, NV"|"36.0901919, -115.1721025"||||day||||||||||||2002|||"Joshua Cannaday"
neo000049|||"Photos show MGM Grand signs at night. "|1993|"MGM Grand Hotel and Casino"|"3799 S Las Vegas Blvd, Las Vegas, NV"|"36.1019132, -115.1688204"||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000050|||"Photos show Mirage signs during the daytime. "|1989|"Mirage (Las Vegas, Nev.)"|"3400 S Las Vegas Blvd, Las Vegas, NV"|"36.1206111, -115.1768386"||"MGM Mirage"||day||||||||||||2002|||"Joshua Cannaday"
neo000051|||"Photos show Monte Carlo signs during the day. "|1995|"Monte Carlo Resort and Casino (Las Vegas, Nev.)"|"3770 S Las Vegas Blvd, Las Vegas, NV"|"36.1050092, -115.173631"||"Mandalay Resort Group (50%), MGM Mirage (50%)-Mandalay manages the property"||day||||||||||||2002|||"Joshua Cannaday"
neo000052|||"Nighttime views of the Motel 8 signs on the Strip. "|||"3961 S Las Vegas Blvd, Las Vegas, NV"|"36.0915508, -115.1719867"||||night||||||||||||2002|||"Joshua Cannaday"
neo000053|||"Views of the NASCAR Cafe signs at dusk on the Strip. "|2000|"Sahara Hotel and Casino (Las Vegas, Nev.)"|"2535 S Las Vegas Blvd, Las Vegas, NV"|"36.1423651, -115.1568525"||||||||||||||||2002|||"Joshua Cannaday"
neo000054|||"Photos show New York New York signs at night. "|1997|"New York-New York Hotel and Casino (Las Vegas, Nev.)"|"3790 S Las Vegas Blvd, Las Vegas, NV"|"36.1023786, -115.1745465"||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000055|||"Daytime views of the Official Tourist Bureau and Viva Vegas Gifts signs on the Strip. "|||"3734 S Las Vegas Blvd, Las Vegas, NV"|"36.1068781, -115.1738075"||||day||||||||||||2002|||"Joshua Cannaday"
neo000056|||"Daytime views of the O'Sheas Casino signs on the Strip. "|1989||"3555 S Las Vegas Blvd, Las Vegas, NV"|"36.1164524, -115.1726588"||"Park Place Entertainment"||day||||||||||||2002|||"Joshua Cannaday"
neo000057|||"Photos show Paris signs during the day and at night. "|1997|"Paris Las Vegas Hotel & Casino"|"3655 S Las Vegas Blvd, Las Vegas, NV"|"36.1125269, -115.175947"||"Park Place Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000058|||"Photos show Peppermill signs during the day. "|||"2985 S Las Vegas Blvd, Las Vegas, NV"|"36.1336884, -115.1632833"||||day||||||||||||2002|||"Joshua Cannaday"
neo000059|||"Daytime views of the Pit Stop signs on the Strip. "|||"3951 S Las Vegas Blvd, Las Vegas, NV"|"36.0921019, -115.1721025"||||day||||||||||||2002|||"Joshua Cannaday"
neo000060|||"Photo shows a daytime view of the Pollyanna Inn sign on the Strip. "|||"4915 S Las Vegas Blvd, Las Vegas, NV"|"36.0848, -115.171385"||||day||||||||||||2002|||"Joshua Cannaday"
neo000061|||"Daytime and nighttime views of the Polo Towers signs on the Strip. "|1985||"3745 S Las Vegas Blvd, Las Vegas, NV"|"36.1065444, -115.1710372"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000062|||"Evening views of the Psychic Sessions signs on the Strip. "|||"3941 S Las Vegas Blvd, Las Vegas, NV"|"36.0926756, -115.1716277"||||||||||||||||2002|||"Joshua Cannaday"
neo000063|||"Nighttime views of the Riviera Hotel and Casino signs on the Strip. "|1988|"Riviera Hotel and Casino (Las Vegas, Nev.)"|"2901 S Las Vegas Blvd, Las Vegas, NV"|"36.135365, -115.1589883"||"Riveria Holdings Corporation"||night||||||||||||2002|||"Joshua Cannaday"
neo000064|||"Daytime and nighttime views of the Rosewood Grille signs on the Strip. "|||"3335 S Las Vegas Blvd, Las Vegas, NV"|"36.123749, -115.1679212"||"Alan and Kevin LeWinter"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000065|||"Daytime and nighttime views of the Royal Hotel and Casino on the Strip. "|||"55 Convention Center Dr, Las Vegas, NV"|"36.1323027, -115.1638942"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000066|||"Nighttime views of the Sahara Hotel and Casino signs on the Strip. "|1996|"Sahara Hotel and Casino (Las Vegas, Nev.)"|"2535 S Las Vegas Blvd, Las Vegas, NV"|"36.1423651, -115.1568525"||"William Bennett"||night||||||||||||2002|||"Joshua Cannaday"
neo000067|||"Photo shows a nighttime view of the Seven sign on the Strip. "|||"3724 S Las Vegas Blvd, Las Vegas, NV"|"36.1070506, -115.1738099"||||night||||||||||||2002|||"Joshua Cannaday"
neo000068|||"Nighttime views of the Showcase Plaza signs. "|||"3785 S Las Vegas Blvd, Las Vegas, NV"|"36.1037254, -115.1724263"||||night||||||||||||2002|||"Joshua Cannaday"
neo000069|||"Daytime views of the Silver City casino signs on the Strip. "|||"3001 S Las Vegas Blvd, Las Vegas, NV"|"36.1329973, -115.1638535"||||day||||||||||||2002|||"Joshua Cannaday"
neo000070|||"Photos show Slots a Fun signs at night and during the day. "|||"2880 S Las Vegas Blvd, Las Vegas, NV"|"36.1376416, -115.1653861"||"Mandalay Resort Group"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000071|||"Daytime and nighttimes views of the Somerset Motel signs on the Strip. "|||"294 Convention Center Dr, Las Vegas, NV"|"36.1329104, -115.159493"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000072|||"Daytime views of the Somerset Shopping Center sign on the Strip. "|||"252 Convention Center Dr, Las Vegas, NV"|"36.1325352, -115.1608426"||||day||||||||||||2002|||"Joshua Cannaday"
neo000073|||"Nighttime views of the Stardust Resort and Casino signs on the Strip. "|1968|"Stardust Resort and Casino"|"3000 S Las Vegas Blvd, Las Vegas, NV"|"36.1341269, -115.167604"||"Boyd Gaming"||night||||||||||||2002|||"Joshua Cannaday"
neo000074|||"Daytime and nighttime views of the Tam O' Shanter motel signs on The Strip. "|||"3317 S Las Vegas Blvd, Las Vegas, NV"|"36.124836, -115.1691788"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000075|||"Daytime views of signs for a Tourist Center, Mini-Mart, and Travelodge on the Strip. "|3527|||||||day||||||||||||2002|||"Joshua Cannaday"
neo000076|||"Photos show Treasure Island signs during the day and at night. "|1993|"Treasure Island Hotel and Casino (Las Vegas, Nev.)"|"3300 S Las Vegas Blvd, Las Vegas, NV"|"36.1242974, -115.1715059"||"MGM Mirage"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000077|||"Photos show Tropicana signs at night. "|1978|"Tropicana Hotel and Casino (Las Vegas, Nev.)"|"3801 S Las Vegas Blvd, Las Vegas, NV"|"36.0998796, -115.1720783"||Aztar||night||||||||||||2002|||"Joshua Cannaday"
neo000078|||"Daytime and nighttime views of the Venetian sign on the Strip. "|1998|"Venetian (Las Vegas, Nev.)"|"3355 S Las Vegas Blvd, Las Vegas, NV"|"36.1243994, -115.1673316"||"Las Vegas Sands, Inc., Sheldon Adelson"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000079|||"Daytime views of the Villa Roma Motel sign on the Strip. "|||"220 Convention Center Dr, Las Vegas, NV"|"36.1326397, -115.1612576"||||day||||||||||||2002|||"Joshua Cannaday"
neo000080|||"Daytime views of the Walgreens signs on the Strip. "|1997||"3765 S Las Vegas Blvd, Las Vegas, NV"|"36.1049965, -115.1717319"||||day||||||||||||2002|||"Joshua Cannaday"
neo000081|||"Daytime views of the Welcome to Fabulous Las Vegas sign on the Strip. "|1959|"Welcome to Las Vegas neon sign"|"5200 S Las Vegas Blvd, Las Vegas, NV"|"36.0819538, -115.1738054"||YESCO||day||||||||||||2002|||"Joshua Cannaday"
neo000082|||"Nighttime views of the Westward Ho signs on the Strip. "|1983|"Westward Ho Motel (Las Vegas, Nev.)"|"2900 S Las Vegas Blvd, Las Vegas, NV"|"36.1355108, -115.1631217"||||night||||||||||||2002|||"Joshua Cannaday"
neo000083|||"Daytime views of the White Sands Motel signs on the Strip. "|||"3889 S Las Vegas Blvd, Las Vegas, NV"|"36.096009, -115.1718014"||||day||||||||||||2002|||"Joshua Cannaday"
neo000084|||"Daytime views of the Budget Suites sign."||||||||day|||||||||||||||
neo000085|||"Daytime view of the Coca Cola structure and sign on the Strip."||||||||day|||||||||||||||
neo000086|||"Daytime and nighttime views of the Gold Key Shops signs on the Strip."||||||||day,night|||||||||||||||
neo000087|||"Daytime views of the signs for Smith & Wollensky's, Sun Shade Sunglasses, Partagas Cigar Factory, Ghirardelli, and Field of Dreams on the Strip."||||||||day|||||||||||||||
neo000088|||"Daytime view of the Stage Door Casino sign."||||||||day|||||||||||||||
neo000089|||"Nighttime view of The Beach nightclub sign."||||||||night|||||||||||||||
neo000090|||"Daytime view of the Vagabond Inn sign."||||||||day|||||||||||||||
neo000091|||"Daytime view of the sign for the Wet n' Wild water park on the Strip."||||||||day|||||||||||||||
neo000092|||"The neon signs including a red slipper, martini glass, the Buxom Beauty in a Neon Bikini and others sit along E Fremont St in Downtown Las Vegas"||"Fremont Street (Las Vegas, Nev.)"|"Fremont St, Las Vegas, NV"|"36.1613923, -115.1224271"|||||||||||||||||||
neo000093|||"The El Cortez Hotel and Casino sits at 600 E Fremont St in Downtown Las Vegas. Continually operating in the same location since 1941, the El Cortez is listed on the National Register of Historical Places. "|1941|"El Cortez Hotel & Casino (Las Vegas, Nev.)"|"600 Fremont St, Las Vegas, NV"|"36.1693856, -115.13878"||"IKE Gaming Inc"||||||||||||||2017|||"Danny Jacobs"
neo000094|||"The Neon Museum's Hacienda Horse and Rider is located on Las Vegas Boulevard near Fremont Street. Part of the Museum's Urban Gallery of restored neon signs, the Hacienda Horse and Rider was originally installed in 1967 at the Hacienda Hotel located at 3950 Las Vegas Boulevard South."|||"Las Vegas Blvd and Fremont St, Las Vegas, NV"|"36.1692048, -115.1406173"|||||||||||||||||||
neo000095|||"The sign for Le Thai restaurant sits at 523 Fremont Street in Downtown Las Vegas. "|2012||"523 Fremont St, Las Vegas, NV"|"36.1687423, -115.1398662"||"Dan and Shauna Coughlin, Dan doubles as the chef as well"||||||||||||||2017|||"Emily Fellmer"
neo000096|||"The sign for La Comida restaurant sits at 100 South 6th Street near Fremont Street in Downtown Las Vegas."|||"100 S 6th St, Las Vegas, NV"|"36.1684935, -115.1398849"|||||||||||||||||||
neo000097|||"The sign for Backstage Bar & Billiards sits at 601 Fremont Street in Downtown Las Vegas. "|2012||"601 Fremont St, Las Vegas, NV"|"36.1683572, -115.1393531"||"DJ Lethal co-owned with DJ Scotty"||||||||||||||2017|||"Emily Fellmer"
neo000098|||"The Ambassador sign, restored by Downtown Project sits at a parking lot near the intersection of 9th Street and East Fremont Street. "|1950||"9th St and Fremont St, Las Vegas, NV"|"36.1672771, -115.1361134"||"Jackie Gaughan(ca.1952)"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000099|||"The permanently closed Labayou Casino sits at 15 Fremont Street at the Fremont Street Experience. "|1999||"15 Fremont St, Las Vegas, NV"|"36.17115, -115.145849"||"Derek Stevens"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000100|||"The famed Vegas Vickie sign advertising the now permanently closed Girls of Glitter Gulch adult entertainment club sits at 20 Fremont Street at the Fremont Street Experience. "|1980||"20 Fremont St, Las Vegas, NV"|"36.1716228, -115.1454911"||"Derek and Greg Stevens"|lit|||||||||||||2017|||"Lauren Vaccaro"
neo000101|||"The now permanently closed Mermaids Casino sits at 32 Fremont Street at the Fremont Street Experience. "|1999||"32 Fremont St, Las Vegas, NV"|"36.1713853, -115.1453443"||"Derek and Greg Stevens"||||||||||||||2017|||"Danny Jacobs"
neo000102|||"A sign for the permanently closed Golden Goose Gentlemen's Club sits at the Fremont Street Experience. "|1974|||||"Derek and Greg Stevens"||||||||||||||2017|||"Lauren Vaccaro"
neo000103|||"The permanently closed Las Vegas Club Casino sits at 18 Fremont Street at the Fremont Street Experience. "|1960|"Las Vegas Club (Las Vegas, Nev.)"|"18 Fremont St, Las Vegas, NV"|"36.1719712, -115.146686"||"Las Vegas Club"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000104|||"The Fremont Street Experience light show screen stretches along the pedestrian mall in Downtown Las Vegas."||"Fremont Street (Las Vegas, Nev.)"|||||||||||||||||||||
neo000105|||"The sign for the permanently closed Davy's Locker dive bar sits at 1149 East Desert Inn Road. "|1960||"1149 E Desert Inn Rd, Las Vegas, NV"|"36.129325, -115.1380097"||"Was Cindy Slight since 2010. Albert Hamika bought the property in 2016. Derek Stonebarger went to the property after they took the sign down and the fish portion of the sign is currently in his possession."||||||||||||||2017|||"Lauren Vaccaro"
neo000106|||"Luv-it Frozen Custard sits north of the Las Vegas Strip at 505 East Oakey Boulevard. "|1973||"505 E Oakey Blvd, Las Vegas, NV"|"36.151492, -115.1515592"||"Brittany and Brandon Tiedemann"||||||||||||||2017|||"Lauren Vaccaro"
neo000107|||"A Little White Chapel sits at 1301 South Las Vegas Boulevard. The Stratosphere Tower can be seen in the background. "|1960||"1301 S Las Vegas Blvd, Las Vegas, NV"|"36.1551584, -115.1495674"||"Charlotte Richards"|lit|||||||||||||2017|||"Wyatt Currie-Diamond"
neo000108|||"Monterey Motel sits against a cloudy sky at 1133 South Las Vegas Boulevard. "|1950||"1133 S Las Vegas Blvd, Las Vegas, NV"|"36.1576095, -115.1477742"||"Monterey Motel Corp."||||||||||||||2017|||"Mitchell Cohen"
neo000109|||"The Viva Las Vegas Wedding Chapel sign sits at 1205 Las Vegas Boulevard South. The chapel has provided themed weddings since 1999. "|2000||"1205 S Las Vegas Blvd, Las Vegas, NV"|"36.1565205, -115.1484556"||"Ron Decar And Jamie Richards"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000110|||"The permanently closed White Cross Market sits at 1700 South Las Vegas Boulevard. Vickie's Diner, housed inside, remains open. "|1955||"1700 S Las Vegas Blvd, Las Vegas, NV"|"36.150866, -115.1529095"||"Vickie Kelesis"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000111|||"The Sunset Station Hotel and Casino sits at 1301 West Sunset Road as evening traffic passes by. "|1997||"1301 W Sunset Rd, Las Vegas, NV"|"36.0612593, -115.0402972"||"Sunset Station Inc"||||||||||||||2017|||"Danny Jacobs"
neo000112|||"Dino's Lounge sits at 1516 South Las Vegas Boulevard. The dive bar has been in operation since 1962. "|1963||"1516 S Las Vegas Blvd, Las Vegas, NV"|"36.1524828, -115.1519298"||"Kristin Bartolo"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000113|||"The Rummel Motel sits north of The Strip at 1809 Las Vegas Boulevard South. "|1958||"1809 S Las Vegas Blvd, Las Vegas, NV"|"36.1495421, -115.1528099"||"Yeh Chia-Hong"||||||||||||||2017|||"Mitchell Cohen"
neo000114|||"The Tod Motor Motel sign sits at 1508 South Las Vegas Boulevard. "|1962||"1508 S Las Vegas Blvd, Las Vegas, NV"|"36.1529703, -115.1518835"||"Ron and Carol Tadmor; Herb Sider"||||||||||||||2017|||"Carlyle Constantino"
neo000115|||"The world famous ""Welcome to Fabulous Las Vegas, Nevada"" sign sits at 5200 South Las Vegas Boulevard. "|1959|"Welcome to Las Vegas neon sign"|"5200 S Las Vegas Blvd, Las Vegas, NV"|"36.0819538, -115.1738054"||YESCO||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000116|||"The Chapel of the Bells signs sits at 2233 South Las Vegas Boulevard."|||"2233 S Las Vegas Blvd, Las Vegas, NV"|"36.1452671, -115.1560988"|||||||||||||||||||
neo000117|||"The Fun City Motel sits at 2233 South Las Vegas Boulevard. "|1970||"2233 S Las Vegas Blvd, Las Vegas, NV"|"36.1452671, -115.1560988"||"Rick Trusdell and Chetak Development Corporation"||||||||||||||2017|||"Gisselle Tipp"
neo000118|||"The Holiday House motel sign with a ""For Sale"" sign sits at 2211 South Las Vegas Boulevard. Formerly the Bagdad Inn, the property has been in operation since the early 50s. "|1983||"2211 S Las Vegas Blvd, Las Vegas, NV"|"36.1457516, -115.1557491"||||day||||||||||||2017|||"Gisselle Tipp"
