did-unr|unr-file-name|unr-title|unr-desc|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|format|dcmi|prov|proj-name|unr-cit|dig-pub|contrib|int-ext|staff-notes|date-img|title-code|title-full|creator
neo000041|||"Photos show Luxor signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."||"Luxor (Las Vegas, Nev.)"|"3900 S Las Vegas Blvd"|||"Mandalay Resort Group"||day||||||||||||2002|||"Joshua Cannaday"
neo000042|||"Daytime and nighttime views of Madame Tussaud's museum signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000|"Venetian (Las Vegas, Nev.)"|"3377 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000043|||"Photos show Mandalay Bay signs during the day and at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1999|"Mandalay Bay (Las Vegas, Nev.)"|"3950 S Las Vegas Blvd"|||"Mandalay Resort Group"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000044|||"Daytime views of the Maxim Hotel and Casino signs. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1977||"160 E Flamingo Rd"|||"Premier Interval Resorts"||day||||||||||||2002|||"Joshua Cannaday"
neo000045|||"Photos show McCarran Field signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1948||"6005 S Las Vegas Blvd"|||"McCarran International Airport"||day||||||||||||2002|||"Joshua Cannaday"
neo000046|||"Daytime and evening views of a McDonald's sign on the Strip at 2800 S Las Vegas Blvd. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"2800 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000047|||"Daytime and evening views of a McDonald's sign on the Strip at 3755 S Las Vegas Blvd. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3755 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000048|||"Daytime and evening views of a McDonald's sign on the Strip at 3999 S Las Vegas Blvd. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3999 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000049|||"Photos show MGM Grand signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1993|"MGM Grand Hotel and Casino"|"3799 S Las Vegas Blvd"|||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000050|||"Photos show Mirage signs during the daytime. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1989|"Mirage (Las Vegas, Nev.)"|"3400 S Las Vegas Blvd"|||"MGM Mirage"||day||||||||||||2002|||"Joshua Cannaday"
neo000051|||"Photos show Monte Carlo signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1995|"Monte Carlo Resort and Casino (Las Vegas, Nev.)"|"3770 S Las Vegas Blvd"|||"Mandalay Resort Group (50%), MGM Mirage (50%)-Mandalay manages the property"||day||||||||||||2002|||"Joshua Cannaday"
neo000052|||"Nighttime views of the Motel 8 signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3961 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000053|||"Views of the NASCAR Cafe signs at dusk on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000|"Sahara Hotel and Casino (Las Vegas, Nev.)"|"2535 S Las Vegas Blvd"|||||||||||||||||2002|||"Joshua Cannaday"
neo000054|||"Photos show New York New York signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1997|"New York-New York Hotel and Casino (Las Vegas, Nev.)"|"3790 S Las Vegas Blvd"|||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000055|||"Daytime views of the Official Tourist Bureau and Viva Vegas Gifts signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3734 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000056|||"Daytime views of the O'Sheas Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1989||"3555 S Las Vegas Blvd"|||"Park Place Entertainment"||day||||||||||||2002|||"Joshua Cannaday"
neo000057|||"Photos show Paris signs during the day and at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1997|"Paris Las Vegas Hotel & Casino"|"3655 S Las Vegas Blvd"|||"Park Place Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000058|||"Photos show Peppermill signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|||"2985 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000059|||"Daytime views of the Pit Stop signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3951 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000060|||"Photo shows a daytime view of the Pollyanna Inn sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"4915 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000061|||"Daytime and nighttime views of the Polo Towers signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1985||"3745 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000062|||"Evening views of the Psychic Sessions signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3941 S Las Vegas Blvd"|||||||||||||||||2002|||"Joshua Cannaday"
neo000063|||"Nighttime views of the Riviera Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1988|"Riviera Hotel and Casino (Las Vegas, Nev.)"|"2901 S Las Vegas Blvd"|||"Riveria Holdings Corporation"||night||||||||||||2002|||"Joshua Cannaday"
neo000064|||"Daytime and nighttime views of the Rosewood Grille signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3335 S Las Vegas Blvd"|||"Alan and Kevin LeWinter"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000065|||"Daytime and nighttime views of the Royal Hotel and Casino on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"55 Convention Center Dr"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000066|||"Nighttime views of the Sahara Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1996|"Sahara Hotel and Casino (Las Vegas, Nev.)"|"2535 S Las Vegas Blvd"|||"William Bennett"||night||||||||||||2002|||"Joshua Cannaday"
neo000067|||"Photo shows a nighttime view of the Seven sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3724 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000068|||"Nighttime views of the Showcase Plaza signs. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3785 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000069|||"Daytime views of the Silver City casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3001 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000070|||"Photos show Slots a Fun signs at night and during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|||"2880 S Las Vegas Blvd"|||"Mandalay Resort Group"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000071|||"Daytime and nighttimes views of the Somerset Motel signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"294 Convention Center Dr"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000072|||"Daytime views of the Somerset Shopping Center sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"252 Convention Center Dr"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000073|||"Nighttime views of the Stardust Resort and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1968|"Stardust Resort and Casino"|"3000 S Las Vegas Blvd"|||"Boyd Gaming"||night||||||||||||2002|||"Joshua Cannaday"
neo000074|||"Daytime and nighttime views of the Tam O' Shanter motel signs on The Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3317 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000075|||"Daytime views of signs for a Tourist Center, Mini-Mart, and Travelodge on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|3527|||||||day||||||||||||2002|||"Joshua Cannaday"
neo000076|||"Photos show Treasure Island signs during the day and at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1993|"Treasure Island Hotel and Casino (Las Vegas, Nev.)"|"3300 S Las Vegas Blvd"|||"MGM Mirage"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000077|||"Photos show Tropicana signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1978|"Tropicana Hotel and Casino (Las Vegas, Nev.)"|"3801 S Las Vegas Blvd"|||Aztar||night||||||||||||2002|||"Joshua Cannaday"
neo000078|||"Daytime and nighttime views of the Venetian sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1998|"Venetian (Las Vegas, Nev.)"|"3355 S Las Vegas Blvd"|||"Las Vegas Sands, Inc., Sheldon Adelson"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000079|||"Daytime views of the Villa Roma Motel sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"220 Convention Center Dr"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000080|||"Daytime views of the Walgreens signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1997||"3765 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000081|||"Daytime views of the Welcome to Fabulous Las Vegas sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1959|"Welcome to Las Vegas neon sign"|"5200 S Las Vegas Blvd"|||YESCO||day||||||||||||2002|||"Joshua Cannaday"
neo000082|||"Nighttime views of the Westward Ho signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1983|"Westward Ho Motel (Las Vegas, Nev.)"|"2900 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000083|||"Daytime views of the White Sands Motel signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3889 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000084|||"Daytime views of the Budget Suites sign."||||||||day|||||||||||||||
neo000085|||"Daytime view of the Coca Cola structure and sign on the Strip."||||||||day|||||||||||||||
neo000086|||"Daytime and nighttime views of the Gold Key Shops signs on the Strip."||||||||day,night|||||||||||||||
neo000087||||||||||||||||||||||||||
neo000088|||"Daytime view of the Stage Door Casino sign."||||||||day|||||||||||||||
neo000089|||"Nighttime view of The Beach nightclub sign."||||||||night|||||||||||||||
neo000089|||"Nighttime view of The Beach nightclub sign."||||||||night|||||||||||||||
neo000090||||||||||||||||||||||||||
neo000091|||"Daytime view of the sign for the Wet n' Wild water park on the Strip."||||||||day|||||||||||||||
neo000092|||"The neon signs including a red slipper, martini glass, the Buxom Beauty in a Neon Bikini and others sit along E Fremont St in Downtown Las Vegas"||"Fremont Street (Las Vegas, Nev.)"|"Fremont St"||||||||||||||||||||
neo000093|||"The El Cortez Hotel and Casino sits at 600 E Fremont St in Downtown Las Vegas. Continually operating in the same location since 1941, the El Cortez is listed on the National Register of Historical Places. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1941|"El Cortez Hotel & Casino (Las Vegas, Nev.)"|"600 Fremont St"|||"IKE Gaming Inc"||||||||||||||2017|||"Danny Jacobs"
neo000094|||"The Neon Museum's Hacienda Horse and Rider is located on Las Vegas Boulevard near Fremont Street. Part of the Museum's Urban Gallery of restored neon signs, the Hacienda Horse and Rider was originally installed in 1967 at the Hacienda Hotel located at 3950 Las Vegas Boulevard South."|||"Las Vegas Blvd and Fremont St"||||||||||||||||||||
neo000095|||"The sign for Le Thai restaurant sits at 523 Fremont Street in Downtown Las Vegas. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2012||"523 Fremont St"|||"Dan and Shauna Coughlin, Dan doubles as the chef as well"||||||||||||||2017|||"Emily Fellmer"
neo000096|||"The sign for La Comida restaurant sits at 100 South 6th Street near Fremont Street in Downtown Las Vegas."|||"100 S 6th St"||||||||||||||||||||
neo000097|||"The sign for Backstage Bar & Billiards sits at 601 Fremont Street in Downtown Las Vegas. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2012||"601 Fremont St"|||"DJ Lethal co-owned with DJ Scotty"||||||||||||||2017|||"Emily Fellmer"
neo000098|||"The Ambassador sign, restored by Downtown Project sits at a parking lot near the intersection of 9th Street and East Fremont Street. Information about the sign is available in the Southern Nevada Neon Survery Data Sheet."|1950||"9th St and Fremont St"|||"Jackie Gaughan(ca.1952)"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000099|||"The permanently closed Labayou Casino sits at 15 Fremont Street at the Fremont Street Experience. Information about the sign is available in the Southern Nevada Neon Survery Data Sheet."|1999||"15 Fremont St"|||"Derek Stevens"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000100|||"The famed Vegas Vickie sign advertising the now permanently closed Girls of Glitter Gulch adult entertainment club sits at 20 Fremont Street at the Fremont Street Experience. Information about the sign is available in the Southern Nevada Neon Survery Data Sheet."|1980||"20 Fremont St"|||"Derek and Greg Stevens"|lit|||||||||||||2017|||"Lauren Vaccaro"
neo000101|||"The now permanently closed Mermaids Casino sits at 32 Fremont Street at the Fremont Street Experience. Information about the sign is available in the Southern Nevada Neon Survery Data Sheet."|1999||"32 Fremont St"|||"Derek and Greg Stevens"||||||||||||||2017|||"Danny Jacobs"
neo000102|||"A sign for the permanently closed Golden Goose Gentlemen's Club sits at the Fremont Street Experience. Information about the sign is available in the Southern Nevada Neon Survery Data Sheet."|1974|||||"Derek and Greg Stevens"||||||||||||||2017|||"Lauren Vaccaro"
neo000103|||"The permanently closed Las Vegas Club Casino sits at 18 Fremont Street at the Fremont Street Experience. Information about the sign is available in the Southern Nevada Neon Survery Data Sheet."|1960|"Las Vegas Club (Las Vegas, Nev.)"|"18 Fremont St"|||"Las Vegas Club"||||||||||||||2017|||"Wyatt Currie-Diamond"
neo000104|||"The Fremont Street Experience light show screen stretches along the pedestrian mall in Downtown Las Vegas."||"Fremont Street (Las Vegas, Nev.)"|||||||||||||||||||||
neo000105|||"The sign for the permanently closed Davy's Locker dive bar sits at 1149 East Desert Inn Road. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1960||"1149 E Desert Inn Rd"|||"Was Cindy Slight since 2010. Albert Hamika bought the property in 2016. Derek Stonebarger went to the property after they took the sign down and the fish portion of the sign is currently in his possession."||||||||||||||2017|||"Lauren Vaccaro"
neo000106|||"Luv-it Frozen Custard sits north of the Las Vegas Strip at 505 East Oakey Boulevard. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1973||"505 E Oakey Blvd"|||"Brittany and Brandon Tiedemann"||||||||||||||2017|||"Lauren Vaccaro"
neo000107|||"A Little White Chapel sits at 1301 South Las Vegas Boulevard. The Stratosphere Tower can be seen in the background. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1960||"1301 S Las Vegas Blvd"|||"Charlotte Richards"|lit|||||||||||||2017|||"Wyatt Currie-Diamond"
neo000108|||"Monterey Motel sits against a cloudy sky at 1133 South Las Vegas Boulevard. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1950||"1133 S Las Vegas Blvd"|||"Monterey Motel Corp."||||||||||||||2017|||"Mitchell Cohen"
